,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
0,A000O5LM55ZNYT7X,3594.887875913972,5,1,2,1
1,A002W7L4ZEYIH624,3594.887875913972,4,1,2,2
2,A0063H17IS0OELIO,3473.055488248122,2,1,1,4
3,A007E35OUXTJ3BRR,3594.887875913972,2,1,2,4
4,A007EWFPMLXHIDWC,3594.887875913972,5,1,2,1
5,A008UGCQHSONWYDJ,3544.3271767810024,2,1,1,4
6,A00AXO66OKGQAC8F,3594.887875913972,3,1,2,3
7,A00BD03LKJIH6LTU,6946.110976496244,1,4,4,5
8,A00BKTGNMZXXU9NB,3473.055488248122,1,1,1,5
9,A00E949YXDIP24UM,3594.887875913972,3,1,2,3
10,A00EIFH5MF1D3N68,3458.2679636021335,1,1,1,5
11,A00EKMHO59OQNRCX,3473.055488248122,1,1,1,5
12,A00F5Q1APLR3BCFB,3594.887875913972,4,1,2,2
13,A00FCCSDCNX73KZP,3594.887875913972,4,1,2,2
14,A00FF7U0QU7LK2E5,6909.157286279282,1,4,4,5
15,A00FOX3A1FV5WK5R,3594.887875913972,5,1,2,1
16,A00GV8O7VLCFB6FJ,7189.775751827944,3,4,4,3
17,A00JBKC02A722TDL,7189.775751827944,5,4,4,1
18,A00K9GWJY8MRAWNS,6909.157286279282,1,4,4,5
19,A00L9DL6ZCKRT6PA,7088.654353562005,2,4,4,4
20,A00OJSUG7UXKTXOM,6946.110976496244,1,4,4,5
21,A00P7EA1JZ3J95QD,3473.055488248122,1,1,1,5
22,A00SXHWJJXV8YQ9W,6946.110976496244,2,4,4,4
23,A00VAD0U0X3V8KKX,3458.2679636021335,1,1,1,5
24,A00YLUPB058Y0USL,3594.887875913972,4,1,2,2
25,A010K0QEXG7JPZEE,3594.887875913972,4,1,2,2
26,A0117WPH7MGU9D8N,7189.775751827944,3,4,4,3
27,A011MDMD3EUU3OYZ,3594.887875913972,3,1,2,3
28,A012QULQ67059PH1,7189.775751827944,5,4,4,1
29,A012Y34E3ID7QMWV,17974.43937956986,4,5,5,2
30,A0151VHBVJPQQ4L1,3544.3271767810024,2,1,1,4
31,A016BHPG0FZFTFMX,3544.3271767810024,2,1,1,4
32,A0190TNM3EZCH3VZ,3594.887875913972,2,1,2,4
33,A01B2QRU493MAQO9,3544.3271767810024,2,1,1,4
34,A01B6A1RZRTLQ0BE,3544.3271767810024,2,1,1,4
35,A01BBLYVVQMEIBXN,7088.654353562005,2,4,4,4
36,A01CM7RYX8Q3KFY5,14379.551503655888,5,5,5,1
37,A01D8B3BQ1MNJEW0,3594.887875913972,5,1,2,1
38,A01DCU3RT0D7SP8D,3458.2679636021335,1,1,1,5
39,A01F4PZTKEOI3WLQ,10784.663627741917,4,5,5,2
40,A01FK51MZ9N7LSA7,3594.887875913972,5,1,2,1
41,A01H8VDK0WFY3SAX,3594.887875913972,3,1,2,3
42,A01IYGC1FMXT80SX,3594.887875913972,3,1,2,3
43,A01L92CM86P4OHKL,3594.887875913972,4,1,2,2
44,A01M5CLOKITUVK6K,3594.887875913972,3,1,2,3
45,A01MAKH4FJNPDC87,3594.887875913972,3,1,2,3
46,A01MIFC7RD9PGKZY,3594.887875913972,5,1,2,1
47,A01MUBSNZTDMNLJ3,7189.775751827944,2,4,4,4
48,A01NT6UZGK1AKRST,3458.2679636021335,1,1,1,5
49,A01NVY76X3OTRJAI,7189.775751827944,4,4,4,2
50,A01OIQQEMO2VEEIS,3594.887875913972,4,1,2,2
51,A01P52TYWIXRQJ27,7189.775751827944,5,1,4,1
52,A01PB5VBOZU661OM,3544.3271767810024,2,1,1,4
53,A01Q9ZNZC15SMXCQ,10784.663627741917,2,5,5,4
54,A01QVGODA0N93SVK,3458.2679636021335,1,1,1,5
55,A01UWJ84D752B5DW,3594.887875913972,3,1,2,3
56,A01VM7FV4TTHGBWQ,3458.2679636021335,1,1,1,5
57,A01WB9H1JR4U91HZ,7088.654353562005,2,4,4,4
58,A01WNP09J1GCULG7,3594.887875913972,3,1,2,3
59,A01XLETAVVZUPINW,3473.055488248122,1,1,1,5
60,A01YKLPDCI9ATEPL,3594.887875913972,3,1,2,3
61,A01Z609BP41ZLTZO,3594.887875913972,5,1,2,1
62,A0206I996INAN3TM,3594.887875913972,3,1,2,3
63,A0207WVHXW0N4S8Q,3454.578643139641,1,1,1,5
64,A0211QEGUOWRRTLS,3594.887875913972,3,1,2,3
65,A02136XGLJ9SPYS7,3594.887875913972,3,1,2,3
66,A021FCMYXS7P3AQX,7189.775751827944,2,4,4,4
67,A022Z7M5OR32G8G6,7088.654353562005,2,4,4,4
68,A026QRI5Q6QG0ASX,7189.775751827944,4,4,4,2
69,A0287GUCUCSA6EFP,3594.887875913972,2,1,2,4
70,A02ACZDRQ7P6NROV,10784.663627741917,4,5,5,2
71,A02AMUGSKBKGKA1S,3594.887875913972,3,1,2,3
72,A02AT812UEYP1JRD,10632.981530343008,2,5,5,4
73,A02CH8PJ8Y5A2LA9,3594.887875913972,4,1,2,2
74,A02CLE86SO543EPE,7189.775751827944,5,4,4,1
75,A02DI6Y3RWK13E9H,7189.775751827944,3,4,4,3
76,A02DQUTBP8695535,10784.663627741917,5,5,5,1
77,A02DSBN3K9AQ662K,3594.887875913972,5,1,2,1
78,A02FDI66XGDK7UOD,14379.551503655888,3,5,5,3
79,A02HQR4K8DBVBRMO,7189.775751827944,3,4,4,3
80,A02HSMOV9RZ4V488,24810.290237467016,2,5,5,4
81,A02J5KIJGQYV93KO,7189.775751827944,5,4,4,1
82,A02JNX5AZEAFUKR1,3594.887875913972,4,1,2,2
83,A02LYZ54R0FOPS8B,3594.887875913972,3,1,2,3
84,A02M7SI6JJC01IQO,7189.775751827944,5,4,4,1
85,A02NXTMUN984NC10,3544.3271767810024,2,1,1,4
86,A02P117JGBQF8V2W,3458.2679636021335,1,1,1,5
87,A02QG5MQDMSL4Y7L,7189.775751827944,3,4,4,3
88,A02QTAQ5BBWEXDRR,3594.887875913972,3,1,2,3
89,A02R8KABX3EXRBTE,7189.775751827944,5,4,4,1
90,A02VCRDPTHP9MWYS,10784.663627741917,4,5,5,2
91,A02VHD0DZ9PSLKVS,3594.887875913972,4,1,2,2
92,A02VLQ6XLJZRQN7U,3594.887875913972,4,1,2,2
93,A02YGEXLE4RNTY0Q,7088.654353562005,2,4,4,4
94,A02ZJ1ZPER18E3WW,3544.3271767810024,2,1,1,4
95,A03099JQU1U1JJA2,3594.887875913972,5,1,2,1
96,A0313F65LI91ARIE,3594.887875913972,4,1,2,2
97,A032ZJ8DFIPSOWAP,7189.775751827944,5,4,4,1
98,A0348TUO33C1LPQF,3594.887875913972,5,1,2,1
99,A0398IDXYCIWWNCF,3594.887875913972,4,1,2,2
100,A039L5NGCH4M51FU,3454.578643139641,1,1,1,5
101,A039ZQTQUZJ7NI04,7189.775751827944,5,4,4,1
102,A03AMLU7C67AYJYA,7189.775751827944,2,4,4,4
103,A03F47S9PKV8D3UO,3594.887875913972,2,1,2,4
104,A03F8Z27FUGMAKN1,3544.3271767810024,2,1,1,4
105,A03FDEG8B7JO1WJ4,3594.887875913972,4,1,2,2
106,A03FGPGPIX3YYHT7,3594.887875913972,3,1,2,3
107,A03GXFMMQNEVQBTP,3458.2679636021335,1,1,1,5
108,A03H5G1KZBNAWZ8L,3454.578643139641,1,1,1,5
109,A03ICHYG15NSPXIZ,3594.887875913972,4,1,2,2
110,A03IY96QSYNGD0MW,3594.887875913972,3,1,2,3
111,A03JBLY6ZRVB4H4C,7189.775751827944,5,4,4,1
112,A03KJGS4FVNJ2VO8,3473.055488248122,1,1,1,5
113,A03KKOCEVZIZXMOP,3544.3271767810024,2,1,1,4
114,A03L1LE7I4W922YB,3594.887875913972,5,1,2,1
115,A03L5DX1KQM4IDY5,7189.775751827944,4,4,4,2
116,A03LDGZBAJ8EGVIZ,7189.775751827944,5,4,4,1
117,A03M5OG635FXL7I8,3594.887875913972,4,1,2,2
118,A03M9PIGTYDSMZ2S,7189.775751827944,4,4,4,2
119,A03MCTZ51XEQMZSI,3594.887875913972,4,1,2,2
120,A03MXPZ181WJ0Z3P,6946.110976496244,1,4,4,5
121,A03O25L31F1WDIMB,3594.887875913972,4,1,2,2
122,A03O3NIW2XXNLXU9,7189.775751827944,4,4,4,2
123,A03O4AEI55UPSLIS,3594.887875913972,5,1,2,1
124,A03OLYL7E7DYBNMK,3454.578643139641,1,1,1,5
125,A03SJ67ZCC28H66Z,3473.055488248122,1,1,1,5
126,A03SS64VPBC3N6JB,7189.775751827944,4,4,4,2
127,A03TMZI2ZJPWHUX1,7189.775751827944,3,4,4,3
128,A03U42MRTKZAT21A,7189.775751827944,3,4,4,3
129,A03VKNSDEBKXPPSA,10784.663627741917,3,5,5,3
130,A03XYDS2JM8JECX3,3544.3271767810024,2,1,1,4
131,A03YHR5US96UM5S0,3454.578643139641,1,1,1,5
132,A03ZA99JHA4HT3Z5,10784.663627741917,4,4,5,2
133,A03ZCBXCHMEB73LP,3544.3271767810024,2,1,1,4
134,A03ZFL39EJ5I2H61,3594.887875913972,4,1,2,2
135,A0407BFOPOW36UBG,7189.775751827944,4,4,4,2
136,A0418B5Y7PZ4KHJ2,3544.3271767810024,2,1,1,4
137,A042HRA67DOQYMDK,3594.887875913972,5,1,2,1
138,A042TPOGZ2DZOWAM,10784.663627741917,2,5,5,4
139,A0433C9NNYVRHEFS,3594.887875913972,3,1,2,3
140,A0434774LG6R4YQC,3473.055488248122,1,1,1,5
141,A043D0QK4YYXKL5A,3594.887875913972,5,1,2,1
142,A043H7L0X7IEV8AQ,3594.887875913972,4,1,2,2
143,A0456DIZSHDK3XLZ,3594.887875913972,3,1,2,3
144,A045HYFU6F9ZM3ZC,3594.887875913972,3,1,2,3
145,A045TIUQ6B7LW7PP,3544.3271767810024,2,1,1,4
146,A046R89TSRTVO6TQ,3594.887875913972,2,1,2,4
147,A0498UWNXMWEYQAY,3458.2679636021335,1,1,1,5
148,A049VLBDZRTYPG24,3594.887875913972,3,1,2,3
149,A04BFZEM3365UQBS,3594.887875913972,3,1,2,3
150,A04C3R9WML55DEWZ,3458.2679636021335,1,1,1,5
151,A04C90XOKJX565TG,3594.887875913972,2,1,2,4
152,A04EEW711FCGZUB8,3594.887875913972,3,1,2,3
153,A04EUY5FIXAMOEKC,3594.887875913972,4,1,2,2
154,A04FH9ACS55A1WN7,3594.887875913972,2,1,2,4
155,A04HQLX9UG89N2HW,21265.963060686016,2,5,5,4
156,A04HZIGRKKDJEQ3U,3594.887875913972,5,1,2,1
157,A04IKVZSR6GDYSYJ,3454.578643139641,1,1,1,5
158,A04JF23SYVJZB5OJ,3594.887875913972,5,1,2,1
159,A04JNV3C3YO8AA60,3594.887875913972,4,1,2,2
160,A04JQ11HM9SVZD2L,7189.775751827944,5,4,4,1
161,A04JZLOO4IFQ8ZV0,7189.775751827944,2,4,4,4
162,A04K7JH5SQW0QE9B,7088.654353562005,2,4,4,4
163,A04K8AHYYS3DN589,10784.663627741917,3,5,5,3
164,A04KFGFB88NNYYTR,6946.110976496244,1,4,4,5
165,A04KHOGY5SC7PVFS,3594.887875913972,3,1,2,3
166,A04LFZ9H7AP0BR0X,7189.775751827944,2,4,4,4
167,A04LWR17JIAHEQ77,3594.887875913972,5,1,2,1
168,A04QMCL8R5H81XOK,3544.3271767810024,2,1,1,4
169,A04QTNHFYNMR90IA,3473.055488248122,1,1,1,5
170,A04QX6CQGU89784D,3594.887875913972,2,1,2,4
171,A04RKB5YMHFSNG6P,3594.887875913972,5,1,2,1
172,A04S4AU1JNC80FQL,14379.551503655888,3,5,5,3
173,A04S5BRN1FSCXUS4,3594.887875913972,3,1,2,3
174,A04SBI1N16V6BM6H,3594.887875913972,5,1,2,1
175,A04U50I0QJR9W4KQ,3473.055488248122,1,1,1,5
176,A04VXY9FUU71PN0D,7189.775751827944,5,4,4,1
177,A04W1XWOTCRBRY3J,3594.887875913972,2,1,2,4
178,A04WHN31W3NM2LCS,14177.30870712401,2,5,5,4
179,A04XGIVBULZ8OTBD,3594.887875913972,4,1,2,2
180,A04XUIG53QAA4DH8,3544.3271767810024,2,1,1,4
181,A04Y6BC00T8O6EYZ,7189.775751827944,4,4,4,2
182,A04YHNW70XRRTYFZ,3594.887875913972,4,1,2,2
183,A04YJUDYXM5BX593,3594.887875913972,5,1,2,1
184,A04ZP70VHQ5446OY,3454.578643139641,1,1,1,5
185,A04ZYBZIE32R3NW7,7189.775751827944,2,4,4,4
186,A050HJ9D9KSHBA66,3454.578643139641,1,1,1,5
187,A05171BY38TRJ340,3594.887875913972,3,1,2,3
188,A0517FX8MTI0K4IA,3594.887875913972,4,1,2,2
189,A052J9RBSEKIAGG1,3458.2679636021335,1,1,1,5
190,A053SFJ5NGET5K2B,3594.887875913972,3,1,2,3
191,A055G49OHJAF0544,3544.3271767810024,2,1,1,4
192,A057DHMSWI33LUJ2,7189.775751827944,3,4,4,3
193,A058GAK1PH3395SX,7189.775751827944,4,4,4,2
194,A058ZTVOWQ5A24JR,3473.055488248122,1,1,1,5
195,A059IBJ9CV9TFQTY,3594.887875913972,5,1,2,1
196,A05AG6NKOUV7BMTJ,3594.887875913972,5,1,2,1
197,A05BRQEWWGYVF4DG,3594.887875913972,4,1,2,2
198,A05C1DO7VSE2EMMV,7189.775751827944,4,4,4,2
199,A05CALFR3BW4OC8I,3594.887875913972,5,1,2,1
200,A05D48IEKLGUFTFK,3594.887875913972,2,1,2,4
201,A05DJ7V02V0M2DU1,7189.775751827944,4,4,4,2
202,A05DMSYKDG1KMPRQ,7189.775751827944,5,4,4,1
203,A05E5MO8TKMMGAQ4,7088.654353562005,2,4,4,4
204,A05EPMXO91K9376V,3594.887875913972,4,1,2,2
205,A05F0WAT3FTI2RLD,3544.3271767810024,2,1,1,4
206,A05FGRSI5TIVQ9OA,3454.578643139641,1,1,1,5
207,A05FZ34S8FSZSVL3,35443.27176781002,2,5,5,4
208,A05G4PJQUNCXFRVZ,3458.2679636021335,1,1,1,5
209,A05GO5NXW0H8KCR9,3458.2679636021335,1,1,1,5
210,A05I2JMHXZID3GSS,3454.578643139641,1,1,1,5
211,A05I3JCV4CDKL2DC,3594.887875913972,4,1,2,2
212,A05MG2HCJXJNV6WR,3594.887875913972,5,1,2,1
213,A05N0J1SIFQFD7R5,3594.887875913972,3,1,2,3
214,A05OVY0KQOPH0EOU,3458.2679636021335,1,1,1,5
215,A05QFONIQLCD71SA,3594.887875913972,3,1,2,3
216,A05QZFWGYFYYIHDN,3594.887875913972,3,1,2,3
217,A05SYIF5RXJ09FRA,3458.2679636021335,1,1,1,5
218,A05UDG21B7WOTWA1,7189.775751827944,5,4,4,1
219,A05UDVDGDQIMXWV6,10784.663627741917,5,5,5,1
220,A05VRH8JCTXV4BBL,3594.887875913972,5,1,2,1
221,A05VXKB14P0I7DWG,3544.3271767810024,2,1,1,4
222,A05XO4VXUGTSSBGT,7088.654353562005,2,4,4,4
223,A05YQL8WPA3KWDRY,3594.887875913972,4,1,2,2
224,A05Z95S90F5HOA02,7189.775751827944,5,4,4,1
225,A06104E3BZBYLSJV,3594.887875913972,4,1,2,2
226,A061EDPVYKA5WF69,7189.775751827944,4,4,4,2
227,A062485ZC1SLUL8O,3544.3271767810024,2,1,1,4
228,A0630XZEFAA1V4GH,3594.887875913972,3,1,2,3
229,A064H0OMIPY9U63T,7189.775751827944,3,4,4,3
230,A065N0CUCQ8GYFSJ,3594.887875913972,4,1,2,2
231,A065RW2YFF1KSW2F,3594.887875913972,5,1,2,1
232,A066OZHRL4Y1S3GW,3594.887875913972,5,1,2,1
233,A066R9BZPP0ZT079,10784.663627741917,5,5,5,1
234,A066UNSRYPI2SDDL,6909.157286279282,1,4,4,5
235,A067FXZ7INLJ3SGX,3594.887875913972,2,1,2,4
236,A068L1O1K2M7YVEK,3544.3271767810024,2,1,1,4
237,A069JMG1FEWGOQKA,14379.551503655888,5,5,5,1
238,A069O4XN2L52M3U3,3594.887875913972,3,1,2,3
239,A06A3H05X44E3C8I,7189.775751827944,3,4,4,3
240,A06AD8BZF7KTXNQK,3454.578643139641,1,1,1,5
241,A06ARFVINZF3WEX3,3594.887875913972,3,1,2,3
242,A06F23KMY1I44UXD,3594.887875913972,5,1,2,1
243,A06FFQPUXFEYNDZR,3454.578643139641,1,1,1,5
244,A06GG43MX3EQG6GX,14379.551503655888,4,5,5,2
245,A06GW8J6AHF5K5OD,3594.887875913972,4,1,2,2
246,A06H0YK88D11GGSX,10784.663627741917,4,5,5,2
247,A06ILBDW4JMJ3EBI,3594.887875913972,5,1,2,1
248,A06IYH7FBD95TDM4,3544.3271767810024,2,1,1,4
249,A06JCFCW0RT56YH6,3594.887875913972,5,1,2,1
250,A06KI9FKDA5YY4WE,3458.2679636021335,1,1,1,5
251,A06KIUCV0A711YLP,3594.887875913972,5,1,2,1
252,A06LJEHXPYNBYKHA,3458.2679636021335,1,1,1,5
253,A06N1A9XAQ4MJEC7,20838.33292948873,1,5,5,5
254,A06NANIQPYZQXSX7,3594.887875913972,3,1,2,3
255,A06NJUODWS60K3FQ,10784.663627741917,5,4,5,1
256,A06NOSZ5F2UWGFLB,3544.3271767810024,2,1,1,4
257,A06NVP994XPZJ7II,3594.887875913972,5,1,2,1
258,A06ODOD3ZML3UPRC,3594.887875913972,4,1,2,2
259,A06PWLHC1ZP6D4XP,3594.887875913972,4,1,2,2
260,A06Q4MCJXO3XWG3E,3594.887875913972,4,1,2,2
261,A06QPBNCB634WG3I,3473.055488248122,1,1,1,5
262,A06RUVW8VPZNRQ19,7189.775751827944,5,4,4,1
263,A06SBENTBYF1I0UV,3594.887875913972,3,1,2,3
264,A06SC2AKLEUCVCDO,10363.735929418923,1,5,5,5
265,A06SJK8ZXZUOOSMQ,3544.3271767810024,2,1,1,4
266,A06TX01PWVCR2FGL,3594.887875913972,3,1,2,3
267,A06U8BMOHYP1Z4IC,10632.981530343008,2,5,5,4
268,A06V7YGJLN7TSVGS,3458.2679636021335,1,1,1,5
269,A06WIWFXRGL6QB55,3594.887875913972,2,1,2,4
270,A06WJ97RDD1ZXEUC,3594.887875913972,4,1,2,2
271,A06WKQEVCQUSFDT4,3594.887875913972,2,1,2,4
272,A06WSSKKG08QLGSH,3594.887875913972,3,1,2,3
273,A06XDGA5Y0ZKYT4U,31898.944591029023,2,5,5,4
274,A06XSBPO3TERLAQF,7189.775751827944,3,4,4,3
275,A06XYEB3TNDCBXI0,3594.887875913972,2,1,2,4
276,A06Y5N1CVBPVSFGH,7189.775751827944,3,4,4,3
277,A06ZIQXCQB0DXHPK,3594.887875913972,5,1,2,1
278,A071YJKOR81H803N,3594.887875913972,4,1,2,2
279,A074XUBF8QPX4MSQ,3594.887875913972,4,1,2,2
280,A07AHTS929WYFXLT,3473.055488248122,2,1,1,4
281,A07B3NFTD2A354OJ,3594.887875913972,4,1,2,2
282,A07CQN6U0H0ES267,3473.055488248122,1,1,1,5
283,A07DUT5QU3584X9A,3594.887875913972,2,1,2,4
284,A07EZZ01W0BYLEJY,3473.055488248122,1,1,1,5
285,A07FVIF40VQDSCIP,7189.775751827944,2,4,4,4
286,A07FX2S4W8MSL1HD,3454.578643139641,1,1,1,5
287,A07G4EYHU5447XHF,3594.887875913972,4,1,2,2
288,A07GN5NYTCJ2KV3Q,3594.887875913972,4,1,2,2
289,A07I9ME9OXW7DPPX,3458.2679636021335,1,1,1,5
290,A07IJ1R4DSETMN2J,3473.055488248122,1,1,1,5
291,A07IOKXD17R1ZJGI,3594.887875913972,4,1,2,2
292,A07J87STV3RYPBHX,3473.055488248122,1,1,1,5
293,A07JFHL473PAHYZ0,3594.887875913972,4,1,2,2
294,A07K6DASAZXWDXZR,3594.887875913972,2,1,2,4
295,A07K8SISUDYV42RF,3544.3271767810024,2,1,1,4
296,A07LCGIQOLF2AYOF,10784.663627741917,3,5,5,3
297,A07LXD06QNC5XCXC,10632.981530343008,2,5,5,4
298,A07MC890PUS67I8R,3594.887875913972,4,1,2,2
299,A07MWPSPSNS0PJPB,3454.578643139641,1,1,1,5
300,A07N42R0D8ML86TJ,3594.887875913972,5,1,2,1
301,A07NOL2Q8YP6YO7I,3594.887875913972,2,1,2,4
302,A07NWFP5VJAHM0ZN,3594.887875913972,5,1,2,1
303,A07NXQWZ9JPCM216,7088.654353562005,2,4,4,4
304,A07QABSVBU80NWSM,3594.887875913972,3,1,2,3
305,A07STVQGDENK8DC1,7189.775751827944,5,4,4,1
306,A07SW7WGBUM9JY59,3594.887875913972,2,1,2,4
307,A07T0WPYKK973ZZ4,3594.887875913972,4,1,2,2
308,A07TCKHWOFVMA7PM,17974.43937956986,5,5,5,1
309,A07VGZ6W473IPJR2,3544.3271767810024,2,1,1,4
310,A07XB7QU7OQ6L72O,6946.110976496244,1,4,4,5
311,A07XRR0CUOF0NPAS,3594.887875913972,5,1,2,1
312,A07YH2LA0W9IFGFO,3473.055488248122,1,1,1,5
313,A07ZR4QABJYB4QJP,17721.63588390501,2,5,5,4
314,A0804QWT44Q863Z9,6909.157286279282,1,4,4,5
315,A081R6ZTHAYJC3AB,3594.887875913972,3,1,2,3
316,A0823IHRIUD8M1NO,7189.775751827944,4,4,4,2
317,A082FBE3EBU5QXTI,3594.887875913972,2,1,2,4
318,A082TKWI7MPKOJEL,3594.887875913972,5,1,2,1
319,A0842R68SLXF9P04,10784.663627741917,4,5,5,2
320,A084Y2V6O30COSDB,6946.110976496244,1,4,4,5
321,A0855H7FCF09SI6H,7189.775751827944,3,4,4,3
322,A085N6GAGBJWADHG,3594.887875913972,5,1,2,1
323,A085TYKMML4AHQ0I,3473.055488248122,1,1,1,5
324,A086ONABWMZVN5DF,3458.2679636021335,1,1,1,5
325,A0888MHJ7OORDXRB,3454.578643139641,1,1,1,5
326,A088BA1R599GQ4B6,3594.887875913972,4,1,2,2
327,A088E9ZKEFEYC4M0,7189.775751827944,4,4,4,2
328,A088R8K6HJBX3PG0,3594.887875913972,3,1,2,3
329,A089A1CKFELGTA0M,3594.887875913972,2,1,2,4
330,A089IKFYB32ISTPK,3594.887875913972,4,1,2,2
331,A089TTFE3RPNSYRJ,3544.3271767810024,2,1,1,4
332,A08BWRA4TKOB94Q4,3544.3271767810024,2,1,1,4
333,A08ETNPRKV36HR64,3544.3271767810024,2,1,1,4
334,A08EYAGHC11VBY8W,3594.887875913972,5,1,2,1
335,A08EYB6E2IR7RT6J,3544.3271767810024,2,1,1,4
336,A08FIFB6B9ER0AHD,3544.3271767810024,2,1,1,4
337,A08GJPSO8BVKWX5C,3473.055488248122,2,1,1,4
338,A08HBYXQSYN5EE74,10784.663627741917,4,5,5,2
339,A08JV2436NJQROLW,3594.887875913972,4,1,2,2
340,A08K11TDVKQUGLDJ,3544.3271767810024,2,1,1,4
341,A08KTC6K58SKXCYX,10784.663627741917,3,5,5,3
342,A08MDX2YWBLEDMV4,10784.663627741917,4,5,5,2
343,A08NS1C0UAWH78YF,3594.887875913972,5,1,2,1
344,A08NTTITBK3FHQOX,3458.2679636021335,1,1,1,5
345,A08OO62LVGU2TDJI,3594.887875913972,3,1,2,3
346,A08P8H3DR9KUVOB3,3544.3271767810024,2,1,1,4
347,A08PC3XVZNHMPS5H,7189.775751827944,4,4,4,2
348,A08QXO16O2873Q3F,3594.887875913972,5,1,2,1
349,A08S0RO87DJXYI2C,3454.578643139641,1,1,1,5
350,A08SGIXFZAZS37N3,3594.887875913972,4,1,2,2
351,A08VBLQI44L4J6Y0,3594.887875913972,4,1,2,2
352,A08X18P8F16U0EVT,3594.887875913972,3,1,2,3
353,A08XG4JFJ5R85QW3,3594.887875913972,3,1,2,3
354,A090YWEAM9PAUMGO,14379.551503655888,4,5,5,2
355,A091TEOSDWA6WPAY,7189.775751827944,5,4,4,1
356,A0926V8ZUWSVM44T,3458.2679636021335,1,1,1,5
357,A0939UGKQJIC5I96,10784.663627741917,3,5,5,3
358,A095E6BF0PKPX53Y,3594.887875913972,2,1,2,4
359,A096C61LCA5J6EOQ,7189.775751827944,3,4,4,3
360,A096VGEZPC0CXB6Q,3594.887875913972,2,1,2,4
361,A097KDZHTFDBOH26,3594.887875913972,3,1,2,3
362,A098MUOOXOPAHHEC,3544.3271767810024,2,1,1,4
363,A0998I2VHA2Q9QLT,3458.2679636021335,1,1,1,5
364,A099QSAMLTPG76XO,3594.887875913972,4,1,2,2
365,A09AV4YZJALYQ33Y,3594.887875913972,4,1,2,2
366,A09BADBEP0AX4W99,7189.775751827944,3,4,4,3
367,A09CVS8J60N88173,3594.887875913972,5,1,2,1
368,A09DCNJCPRRPBPPB,3594.887875913972,5,1,2,1
369,A09E5FVE10WJLF5X,3473.055488248122,1,1,1,5
370,A09F80LPYSHWDPPM,3544.3271767810024,2,1,1,4
371,A09HMWVJQT0EXHAQ,3594.887875913972,5,1,2,1
372,A09I1202QMZIH4O2,3594.887875913972,5,1,2,1
373,A09IAUZ7268GJNMN,3544.3271767810024,2,1,1,4
374,A09ICBEZCST1J4A0,3594.887875913972,5,1,2,1
375,A09IHVJ8F48SAHPI,3458.2679636021335,1,1,1,5
376,A09K9WJM7B5WK5P0,3544.3271767810024,2,1,1,4
377,A09KHX9HQN4PMS4E,3594.887875913972,5,1,2,1
378,A09L507IVBCEBAEH,7088.654353562005,2,4,4,4
379,A09L572YFDZ8NWM0,3594.887875913972,5,1,2,1
380,A09LWDNLEAENPGYL,10632.981530343008,2,5,5,4
381,A09NBV20L6N81XEN,3544.3271767810024,2,1,1,4
382,A09PDTQ9IYNKTF5T,7189.775751827944,3,4,4,3
383,A09PS9HOH6ISLEUH,3544.3271767810024,2,1,1,4
384,A09QBDX1YENJA8H9,7189.775751827944,3,4,4,3
385,A09QG7YKYP9TZCK8,6946.110976496244,1,4,4,5
386,A09QJ2LMTLSH4C98,3594.887875913972,4,1,2,2
387,A09UDG0NATAI7TFW,3544.3271767810024,2,1,1,4
388,A09W2LXCJ0BIXJYN,3473.055488248122,1,1,1,5
389,A09WGOIOAYF231ZD,3544.3271767810024,2,1,1,4
390,A09WUBSJ9RBL9615,3594.887875913972,5,1,2,1
391,A09XQQKKUNUFUCZW,3454.578643139641,1,1,1,5
392,A09YSWG0AYPIW6PE,3473.055488248122,1,1,1,5
393,A09Z25HVZ2I00ACJ,3594.887875913972,4,1,2,2
394,A09ZDRLJRC0A1GML,3594.887875913972,2,1,2,4
395,A09ZW247GVG4ZR39,3594.887875913972,3,1,2,3
396,A0A1K7BDMIP95SIQ,7189.775751827944,4,4,4,2
397,A0A3MOE6FVTG3FO9,3594.887875913972,5,1,2,1
398,A0A3MW6TW8ULI5LE,3594.887875913972,4,1,2,2
399,A0A4L80HFG4KPX2F,7088.654353562005,2,4,4,4
400,A0A5JAM4VECOAA20,3594.887875913972,5,1,2,1
401,A0A6JVWUKWQVQN06,3594.887875913972,3,1,2,3
402,A0A6KDSLSVKP6VWD,3594.887875913972,3,1,2,3
403,A0A74R0V84YUM22K,3454.578643139641,1,1,1,5
404,A0A8Y95BL1O5IHRZ,3594.887875913972,3,1,2,3
405,A0AC3QBB95808AEY,3458.2679636021335,1,1,1,5
406,A0AC7PS21YE7SGX1,3594.887875913972,5,1,2,1
407,A0AD7E93F8E6HYOW,3594.887875913972,5,1,2,1
408,A0AEU0ZERDR98CV7,3458.2679636021335,1,1,1,5
409,A0AFWUUB8GFPS707,3594.887875913972,3,1,2,3
410,A0AG01E4P8NKHLLQ,3544.3271767810024,2,1,1,4
411,A0AHMI4PZLYD0J5P,3594.887875913972,4,1,2,2
412,A0AIFFKIPECEGT6I,7189.775751827944,4,4,4,2
413,A0AKA76VJ404FLZX,7189.775751827944,4,4,4,2
414,A0AKFU5L5O68PW1H,3458.2679636021335,1,1,1,5
415,A0AL3Z45KI4WOUD2,3473.055488248122,1,1,1,5
